Div,HomeTeam,AwayTeam,FTHG,FTAG
E0,Burnley,Swansea,0,1
E0,Crystal Palace,West Brom,0,1
E0,Everton,Tottenham,1,1
E0,Hull,Leicester,2,1
E0,Man City,Sunderland,2,1
E0,Middlesbrough,Stoke,1,1
E0,Southampton,Watford,1,1
E0,Arsenal,Liverpool,3,4
E0,Bournemouth,Man United,1,3
E0,Chelsea,West Ham,2,1
E0,Man United,Southampton,2,0
E0,Burnley,Liverpool,2,0
E0,Leicester,Arsenal,0,0
E0,Stoke,Man City,1,4
E0,Swansea,Hull,0,2
E0,Tottenham,Crystal Palace,1,0
E0,Watford,Chelsea,1,2
E0,West Brom,Everton,1,2
E0,Sunderland,Middlesbrough,1,2
E0,West Ham,Bournemouth,1,0
E0,Chelsea,Burnley,3,0
E0,Crystal Palace,Bournemouth,1,1
E0,Everton,Stoke,1,0
E0,Hull,Man United,0,1
E0,Leicester,Swansea,2,1
E0,Southampton,Sunderland,1,1
E0,Tottenham,Liverpool,1,1
E0,Watford,Arsenal,1,3
E0,Man City,West Ham,3,1
E0,West Brom,Middlesbrough,0,0
E0,Arsenal,Southampton,2,1
E0,Bournemouth,West Brom,1,0
E0,Burnley,Hull,1,1
E0,Liverpool,Leicester,4,1
E0,Man United,Man City,1,2
E0,Middlesbrough,Crystal Palace,1,2
E0,Stoke,Tottenham,0,4
E0,West Ham,Watford,2,4
E0,Swansea,Chelsea,2,2
E0,Sunderland,Everton,0,3
E0,Chelsea,Liverpool,1,2
E0,Everton,Middlesbrough,3,1
E0,Hull,Arsenal,1,4
E0,Leicester,Burnley,3,0
E0,Man City,Bournemouth,4,0
E0,West Brom,West Ham,4,2
E0,Crystal Palace,Stoke,4,1
E0,Southampton,Swansea,1,0
E0,Tottenham,Sunderland,1,0
E0,Watford,Man United,3,1
E0,Arsenal,Chelsea,3,0
E0,Bournemouth,Everton,1,0
E0,Liverpool,Hull,5,1
E0,Man United,Leicester,4,1
E0,Middlesbrough,Tottenham,1,2
