Div,HomeTeam,AwayTeam,FTHG,FTAG
E0,Arsenal,Man City,3,0
E0,Chelsea,Norwich,2,0
E0,Coventry,Wimbledon,1,1
E0,Crystal Palace,Liverpool,1,6
E0,Everton,Aston Villa,2,2
E0,Ipswich,Nottingham Forest,0,1
E0,Man United,QPR,2,0
E0,Sheffield Wednesday,Tottenham,3,4
E0,Southampton,Blackburn,1,1
E0,West Ham,Leeds,0,0
E0,Leicester,Newcastle,1,3
E0,Nottingham Forest,Man United,1,1
E0,Blackburn,Leicester,3,0
E0,Leeds,Arsenal,1,0
E0,Wimbledon,Ipswich,1,1
E0,Aston Villa,Southampton,1,1
E0,Man City,West Ham,3,0
E0,Newcastle,Coventry,4,0
E0,Norwich,Crystal Palace,0,0
E0,QPR,Sheffield Wednesday,3,2
E0,Tottenham,Everton,2,1
E0,Aston Villa,Crystal Palace,1,1
E0,Blackburn,Coventry,4,0
E0,Leeds,Chelsea,2,3
E0,Man City,Everton,4,0
E0,Newcastle,Southampton,5,1
E0,Norwich,West Ham,1,0
E0,Nottingham Forest,Leicester,1,0
E0,QPR,Ipswich,1,2
E0,Tottenham,Man United,0,1
E0,Wimbledon,Sheffield Wednesday,0,1
E0,Liverpool,Arsenal,3,0
E0,Coventry,Aston Villa,0,1
E0,Crystal Palace,Leeds,1,2
E0,Everton,Nottingham Forest,1,2
E0,Ipswich,Tottenham,1,3
E0,Arsenal,Blackburn,0,0
E0,Chelsea,Man City,3,0
E0,Leicester,QPR,1,1
E0,Man United,Wimbledon,3,0
E0,Sheffield Wednesday,Norwich,0,0
E0,Southampton,Liverpool,0,2
E0,West Ham,Newcastle,1,3
E0,Aston Villa,Ipswich,2,0
E0,Blackburn,Everton,3,0
E0,Liverpool,West Ham,0,0
E0,Man City,Crystal Palace,1,1
E0,Newcastle,Chelsea,4,2
E0,Norwich,Arsenal,0,0
E0,Nottingham Forest,Sheffield Wednesday,4,1
E0,QPR,Coventry,2,2
E0,Wimbledon,Leicester,2,1
E0,Leeds,Man United,2,1
E0,Tottenham,Southampton,1,2
E0,Coventry,Leeds,2,1
E0,Crystal Palace,Wimbledon,0,0
E0,Everton,QPR,2,2
E0,Leicester,Tottenham,3,1
E0,Man United,Liverpool,2,0
E0,Sheffield Wednesday,Man City,1,1
E0,Southampton,Nottingham Forest,1,1
E0,West Ham,Aston Villa,1,0
E0,Arsenal,Newcastle,2,3
E0,Chelsea,Blackburn,1,2
E0,Ipswich,Norwich,1,2
E0,Blackburn,Aston Villa,3,1
E0,Coventry,Southampton,1,3
E0,Crystal Palace,Chelsea,0,1
E0,Everton,Leicester,1,1
E0,Ipswich,Man United,3,2
E0,Man City,Norwich,2,0
E0,Newcastle,Liverpool,1,1
E0,QPR,Wimbledon,0,1
E0,Tottenham,Nottingham Forest,1,4
E0,West Ham,Arsenal,0,2
E0,Sheffield Wednesday,Leeds,1,1
E0,Arsenal,Crystal Palace,1,2
E0,Aston Villa,Newcastle,0,2
E0,Leeds,Man City,2,0
E0,Liverpool,Sheffield Wednesday,4,1
E0,Man United,Everton,2,0
E0,Norwich,Blackburn,2,1
E0,Southampton,Ipswich,3,1
E0,Wimbledon,Tottenham,1,2
E0,Chelsea,West Ham,1,2
E0,Nottingham Forest,QPR,3,2
E0,Leicester,Coventry,2,2
E0,Chelsea,Leicester,4,0
E0,Liverpool,Aston Villa,3,2
E0,Man City,Nottingham Forest,3,3
E0,Norwich,Leeds,2,1
E0,Sheffield Wednesday,Man United,1,0
E0,Southampton,Everton,2,0
E0,Tottenham,QPR,1,1
E0,West Ham,Crystal Palace,1,0
E0,Wimbledon,Arsenal,1,3
E0,Newcastle,Blackburn,1,1
