Div,HomeTeam,AwayTeam,FTHG,FTAG
E0,Aston Villa,West Ham,3,0
E0,Blackburn,Everton,1,0
E0,Bolton,Fulham,0,0
E0,Chelsea,West Brom,6,0
E0,Sunderland,Birmingham,2,2
E0,Tottenham,Man City,0,0
E0,Wigan,Blackpool,0,4
E0,Wolves,Stoke,2,1
E0,Liverpool,Arsenal,1,1
E0,Man United,Newcastle,3,0
E0,Arsenal,Blackpool,6,0
E0,Birmingham,Blackburn,2,1
E0,Everton,Wolves,1,1
E0,Stoke,Tottenham,1,2
E0,West Brom,Sunderland,1,0
E0,West Ham,Bolton,1,3
E0,Wigan,Chelsea,0,6
E0,Fulham,Man United,2,2
E0,Newcastle,Aston Villa,6,0
E0,Man City,Liverpool,3,0
E0,Blackburn,Arsenal,1,2
E0,Blackpool,Fulham,2,2
E0,Chelsea,Stoke,2,0
E0,Man United,West Ham,3,0
E0,Tottenham,Wigan,0,1
E0,Wolves,Newcastle,1,1
E0,Aston Villa,Everton,1,0
E0,Bolton,Birmingham,2,2
E0,Liverpool,West Brom,1,0
E0,Sunderland,Man City,1,0
E0,Arsenal,Bolton,4,1
E0,Everton,Man United,3,3
E0,Fulham,Wolves,2,1
E0,Man City,Blackburn,1,1
E0,Newcastle,Blackpool,0,2
E0,West Brom,Tottenham,1,1
E0,West Ham,Chelsea,1,3
E0,Wigan,Sunderland,1,1
E0,Birmingham,Liverpool,0,0
E0,Stoke,Aston Villa,2,1
E0,Aston Villa,Bolton,1,1
E0,Blackburn,Fulham,1,1
E0,Everton,Newcastle,0,1
E0,Stoke,West Ham,1,1
E0,Sunderland,Arsenal,1,1
E0,Tottenham,Wolves,3,1
E0,West Brom,Birmingham,3,1
E0,Chelsea,Blackpool,4,0
E0,Man United,Liverpool,3,2
E0,Wigan,Man City,0,2
E0,Arsenal,West Brom,2,3
E0,Birmingham,Wigan,0,0
E0,Blackpool,Blackburn,1,2
E0,Fulham,Everton,0,0
E0,Liverpool,Sunderland,2,2
E0,Man City,Chelsea,1,0
E0,West Ham,Tottenham,1,0
E0,Bolton,Man United,2,2
E0,Newcastle,Stoke,1,2
E0,Wolves,Aston Villa,1,2
E0,Birmingham,Everton,0,2
E0,Stoke,Blackburn,1,0
E0,Sunderland,Man United,0,0
E0,Tottenham,Aston Villa,2,1
E0,West Brom,Bolton,1,1
E0,West Ham,Fulham,1,1
E0,Wigan,Wolves,2,0
E0,Chelsea,Arsenal,2,0
E0,Liverpool,Blackpool,1,2
E0,Man City,Newcastle,2,1
E0,Arsenal,Birmingham,2,1
E0,Aston Villa,Chelsea,0,0
E0,Bolton,Stoke,2,1
E0,Fulham,Tottenham,1,2
E0,Man United,West Brom,2,2
E0,Newcastle,Wigan,2,2
E0,Wolves,West Ham,1,1
E0,Blackpool,Man City,2,3
E0,Everton,Liverpool,2,0
E0,Blackburn,Sunderland,0,0
E0,Birmingham,Blackpool,2,0
E0,Chelsea,Wolves,2,0
E0,Sunderland,Aston Villa,1,0
E0,Tottenham,Everton,1,1
E0,West Brom,Fulham,2,1
E0,West Ham,Newcastle,1,2
E0,Wigan,Bolton,1,1
E0,Liverpool,Blackburn,2,1
E0,Man City,Arsenal,0,3
E0,Stoke,Man United,1,2
E0,Arsenal,West Ham,1,0
E0,Blackburn,Chelsea,1,2
E0,Everton,Stoke,1,0
E0,Fulham,Wigan,2,0
E0,Man United,Tottenham,2,0
E0,Wolves,Man City,2,1
E0,Aston Villa,Birmingham,0,0
E0,Bolton,Liverpool,0,1
E0,Newcastle,Sunderland,5,1
E0,Blackpool,West Brom,2,1
E0,Birmingham,West Ham,2,2
E0,Blackburn,Wigan,2,1
E0,Blackpool,Everton,2,2
E0,Bolton,Tottenham,4,2
E0,Fulham,Aston Villa,1,1
E0,Man United,Wolves,2,1
E0,Sunderland,Stoke,2,0
E0,Arsenal,Newcastle,0,1
