Div,HomeTeam,AwayTeam,FTHG,FTAG
E0,Aston Villa,Wigan,0,2
E0,Blackburn,Man City,0,2
E0,Bolton,Sunderland,0,1
E0,Chelsea,Hull,2,1
E0,Everton,Arsenal,1,6
E0,Portsmouth,Fulham,0,1
E0,Stoke,Burnley,2,0
E0,Wolves,West Ham,0,2
E0,Man United,Birmingham,1,0
E0,Tottenham,Liverpool,2,1
E0,Sunderland,Chelsea,1,3
E0,Wigan,Wolves,0,1
E0,Birmingham,Portsmouth,1,0
E0,Burnley,Man United,1,0
E0,Hull,Tottenham,1,5
E0,Liverpool,Stoke,4,0
E0,Arsenal,Portsmouth,4,1
E0,Birmingham,Stoke,0,0
E0,Hull,Bolton,1,0
E0,Man City,Wolves,1,0
E0,Sunderland,Blackburn,2,1
E0,Wigan,Man United,0,5
E0,Burnley,Everton,1,0
E0,Fulham,Chelsea,0,2
E0,West Ham,Tottenham,1,2
E0,Liverpool,Aston Villa,1,3
E0,Blackburn,West Ham,0,0
E0,Bolton,Liverpool,2,3
E0,Chelsea,Burnley,3,0
E0,Man United,Arsenal,2,1
E0,Stoke,Sunderland,1,0
E0,Tottenham,Birmingham,2,1
E0,Wolves,Hull,1,1
E0,Aston Villa,Fulham,2,0
E0,Everton,Wigan,2,1
E0,Portsmouth,Man City,0,1
E0,Blackburn,Wolves,3,1
E0,Liverpool,Burnley,4,0
E0,Man City,Arsenal,4,2
E0,Portsmouth,Bolton,2,3
E0,Stoke,Chelsea,1,2
E0,Sunderland,Hull,4,1
E0,Tottenham,Man United,1,3
E0,Wigan,West Ham,1,0
E0,Birmingham,Aston Villa,0,1
E0,Fulham,Everton,2,1
E0,Arsenal,Wigan,4,0
E0,Aston Villa,Portsmouth,2,0
E0,Bolton,Stoke,1,1
E0,Burnley,Sunderland,3,1
E0,Hull,Birmingham,0,1
E0,West Ham,Liverpool,2,3
E0,Chelsea,Tottenham,3,0
E0,Everton,Blackburn,3,0
E0,Man United,Man City,4,3
E0,Wolves,Fulham,2,1
E0,Birmingham,Bolton,1,2
E0,Blackburn,Aston Villa,2,1
E0,Fulham,Arsenal,0,1
E0,Liverpool,Hull,6,1
E0,Portsmouth,Everton,0,1
E0,Stoke,Man United,0,2
E0,Tottenham,Burnley,5,0
E0,Wigan,Chelsea,3,1
E0,Sunderland,Wolves,5,2
E0,Man City,West Ham,3,1
E0,Bolton,Tottenham,2,2
E0,Burnley,Birmingham,2,1
E0,Hull,Wigan,2,1
E0,Man United,Sunderland,2,2
E0,Wolves,Portsmouth,0,1
E0,Arsenal,Blackburn,6,2
E0,Chelsea,Liverpool,2,0
E0,Everton,Stoke,1,1
E0,West Ham,Fulham,2,2
E0,Aston Villa,Man City,1,1
E0,Arsenal,Birmingham,3,1
E0,Aston Villa,Chelsea,2,1
E0,Everton,Wolves,1,1
E0,Man United,Bolton,2,1
E0,Portsmouth,Tottenham,1,2
E0,Stoke,West Ham,2,1
E0,Sunderland,Liverpool,1,0
E0,Blackburn,Burnley,3,2
E0,Wigan,Man City,1,1
E0,Fulham,Hull,2,0
E0,Birmingham,Sunderland,2,1
E0,Burnley,Wigan,1,3
E0,Chelsea,Blackburn,5,0
E0,Hull,Portsmouth,0,0
E0,Tottenham,Stoke,0,1
E0,Wolves,Aston Villa,1,1
E0,Bolton,Everton,3,2
E0,Liverpool,Man United,2,0
E0,Man City,Fulham,2,2
E0,West Ham,Arsenal,2,2
E0,Arsenal,Tottenham,3,0
E0,Bolton,Chelsea,0,4
E0,Burnley,Hull,2,0
E0,Everton,Aston Villa,1,1
E0,Fulham,Liverpool,3,1
E0,Man United,Blackburn,2,0
E0,Portsmouth,Wigan,4,0
E0,Stoke,Wolves,2,2
E0,Sunderland,West Ham,2,2
E0,Birmingham,Man City,0,0
E0,West Ham,Aston Villa,2,1
E0,Aston Villa,Bolton,5,1
E0,Blackburn,Portsmouth,3,1
E0,Man City,Burnley,3,3
E0,Tottenham,Sunderland,2,0
E0,Wolves,Arsenal,1,4
E0,Chelsea,Man United,1,0
E0,Hull,Stoke,2,1
E0,West Ham,Everton,1,2
E0,Wigan,Fulham,1,1
E0,Liverpool,Birmingham,2,2
E0,Birmingham,Fulham,1,0
E0,Burnley,Aston Villa,1,1
E0,Chelsea,Wolves,4,0
E0,Hull,West Ham,3,3
E0,Liverpool,Man City,2,2
E0,Man United,Everton,3,0
E0,Sunderland,Arsenal,1,0
E0,Bolton,Blackburn,0,2
E0,Stoke,Portsmouth,1,0
E0,Tottenham,Wigan,9,1
E0,Fulham,Blackburn,3,0
E0,Hull,Everton,3,2
E0,Aston Villa,Tottenham,1,1
E0,Blackburn,Stoke,0,0
E0,Fulham,Bolton,1,1
E0,Man City,Hull,1,1
E0,Portsmouth,Man United,1,4
E0,West Ham,Burnley,5,3
E0,Wigan,Sunderland,1,0
E0,Arsenal,Chelsea,0,3
E0,Everton,Liverpool,0,2
E0,Wolves,Birmingham,0,1
E0,Arsenal,Stoke,2,0
E0,Aston Villa,Hull,3,0
E0,Blackburn,Liverpool,0,0
E0,Man City,Chelsea,2,1
E0,Portsmouth,Burnley,2,0
E0,West Ham,Man United,0,4
E0,Wigan,Birmingham,2,3
E0,Wolves,Bolton,2,1
E0,Everton,Tottenham,2,2
E0,Fulham,Sunderland,1,0
E0,Birmingham,West Ham,1,0
E0,Bolton,Man City,3,3
E0,Burnley,Fulham,1,1
E0,Chelsea,Everton,3,3
E0,Hull,Blackburn,0,0
E0,Man United,Aston Villa,0,1
E0,Stoke,Wigan,2,2
E0,Sunderland,Portsmouth,1,1
E0,Tottenham,Wolves,0,1
E0,Liverpool,Arsenal,1,2
E0,Birmingham,Blackburn,2,1
E0,Bolton,West Ham,3,1
E0,Man United,Wolves,3,0
E0,Sunderland,Aston Villa,0,2
E0,Burnley,Arsenal,1,1
E0,Chelsea,Portsmouth,2,1
E0,Liverpool,Wigan,2,1
E0,Tottenham,Man City,3,0
E0,Arsenal,Hull,3,0
E0,Aston Villa,Stoke,1,0
E0,Blackburn,Tottenham,0,2
E0,Fulham,Man United,3,0
E0,Man City,Sunderland,4,3
E0,Portsmouth,Liverpool,2,0
E0,Everton,Birmingham,1,1
E0,West Ham,Chelsea,1,1
E0,Wolves,Burnley,2,0
E0,Birmingham,Chelsea,0,0
E0,Burnley,Bolton,1,1
E0,Fulham,Tottenham,0,0
E0,Liverpool,Wolves,2,0
E0,Man City,Stoke,2,0
E0,Sunderland,Everton,1,1
E0,West Ham,Portsmouth,2,0
E0,Wigan,Blackburn,1,1
E0,Arsenal,Aston Villa,3,0
E0,Hull,Man United,1,3
E0,Blackburn,Sunderland,2,2
E0,Chelsea,Fulham,2,1
E0,Everton,Burnley,2,0
E0,Stoke,Birmingham,0,1
E0,Tottenham,West Ham,2,0
E0,Wolves,Man City,0,3
E0,Aston Villa,Liverpool,0,1
E0,Bolton,Hull,2,2
E0,Man United,Wigan,5,0
E0,Portsmouth,Arsenal,1,4
E0,Stoke,Fulham,3,2
E0,Arsenal,Everton,2,2
E0,Birmingham,Man United,1,1
E0,Man City,Blackburn,4,1
E0,Chelsea,Sunderland,7,2
E0,Everton,Man City,2,0
E0,Man United,Burnley,3,0
E0,Stoke,Liverpool,1,1
E0,Tottenham,Hull,0,0
E0,Wolves,Wigan,0,2
E0,Aston Villa,West Ham,0,0
E0,Blackburn,Fulham,2,0
E0,Bolton,Arsenal,0,2
E0,Arsenal,Bolton,4,2
E0,Liverpool,Tottenham,2,0
E0,Man United,Hull,4,0
E0,Bolton,Burnley,1,0
E0,Portsmouth,West Ham,1,1
E0,Tottenham,Fulham,2,0
E0,Wolves,Liverpool,0,0
E0,Aston Villa,Arsenal,0,0
E0,Blackburn,Wigan,2,1
E0,Chelsea,Birmingham,3,0
E0,Everton,Sunderland,2,0
E0,Birmingham,Tottenham,1,1
E0,Burnley,Chelsea,1,2
E0,Fulham,Aston Villa,0,2
E0,Hull,Wolves,2,2
E0,Liverpool,Bolton,2,0
E0,West Ham,Blackburn,0,0
E0,Wigan,Everton,0,1
E0,Arsenal,Man United,1,3
E0,Man City,Portsmouth,2,0
E0,Sunderland,Stoke,0,0
E0,Hull,Chelsea,1,1
E0,Fulham,Portsmouth,1,0
E0,Bolton,Fulham,0,0
E0,Burnley,West Ham,2,1
E0,Hull,Man City,2,1
E0,Liverpool,Everton,1,0
E0,Man United,Portsmouth,5,0
E0,Stoke,Blackburn,3,0
E0,Sunderland,Wigan,1,1
E0,Tottenham,Aston Villa,0,0
E0,Birmingham,Wolves,2,1
E0,Chelsea,Arsenal,2,0
E0,Fulham,Burnley,3,0
E0,Man City,Bolton,2,0
E0,Portsmouth,Sunderland,1,1
E0,Wigan,Stoke,1,1
E0,Arsenal,Liverpool,1,0
E0,Aston Villa,Man United,1,1
E0,Blackburn,Hull,1,0
E0,Everton,Chelsea,2,1
E0,West Ham,Birmingham,2,0
E0,Wolves,Tottenham,1,0
E0,Stoke,Man City,1,1
E0,Wigan,Bolton,0,0
E0,Arsenal,Sunderland,2,0
E0,Everton,Man United,3,1
E0,Portsmouth,Stoke,1,2
E0,West Ham,Hull,3,0
E0,Wolves,Chelsea,0,2
E0,Aston Villa,Burnley,5,2
E0,Blackburn,Bolton,3,0
E0,Fulham,Birmingham,2,1
E0,Man City,Liverpool,0,0
E0,Wigan,Tottenham,0,3
E0,Man United,West Ham,3,0
E0,Birmingham,Wigan,1,0
E0,Bolton,Wolves,1,0
E0,Burnley,Portsmouth,1,2
E0,Chelsea,Man City,2,4
E0,Stoke,Arsenal,1,3
E0,Liverpool,Blackburn,2,1
E0,Sunderland,Fulham,0,0
E0,Tottenham,Everton,2,1
E0,Arsenal,Burnley,3,1
E0,West Ham,Bolton,1,2
E0,Wolves,Man United,0,1
E0,Everton,Hull,5,1
E0,Wigan,Liverpool,1,0
E0,Portsmouth,Birmingham,1,2
E0,Sunderland,Bolton,4,0
E0,Burnley,Stoke,1,1
E0,Birmingham,Everton,2,2
E0,Bolton,Wigan,4,0
E0,Burnley,Wolves,1,2
E0,Chelsea,West Ham,4,1
E0,Hull,Arsenal,1,2
E0,Stoke,Aston Villa,0,0
E0,Tottenham,Blackburn,3,1
E0,Man United,Fulham,3,0
E0,Sunderland,Man City,1,1
E0,Liverpool,Portsmouth,4,1
E0,Wigan,Aston Villa,1,2
E0,Arsenal,West Ham,2,0
E0,Aston Villa,Wolves,2,2
E0,Everton,Bolton,2,0
E0,Portsmouth,Hull,3,2
E0,Stoke,Tottenham,1,2
E0,Sunderland,Birmingham,3,1
E0,Wigan,Burnley,1,0
E0,Blackburn,Chelsea,1,1
E0,Fulham,Man City,1,2
E0,Man United,Liverpool,2,1
E0,West Ham,Wolves,1,3
E0,Aston Villa,Sunderland,1,1
E0,Blackburn,Birmingham,2,1
E0,Man City,Everton,0,2
E0,Portsmouth,Chelsea,0,5
E0,Birmingham,Arsenal,1,1
E0,Bolton,Man United,0,4
E0,Chelsea,Aston Villa,7,1
E0,Hull,Fulham,2,0
E0,Tottenham,Portsmouth,2,0
E0,West Ham,Stoke,0,1
E0,Wolves,Everton,0,0
E0,Burnley,Blackburn,0,1
E0,Liverpool,Sunderland,3,0
E0,Man City,Wigan,3,0
E0,Arsenal,Wolves,1,0
E0,Bolton,Aston Villa,0,1
E0,Burnley,Man City,1,6
E0,Man United,Chelsea,1,2
E0,Portsmouth,Blackburn,0,0
E0,Stoke,Hull,2,0
E0,Sunderland,Tottenham,3,1
E0,Birmingham,Liverpool,1,1
E0,Everton,West Ham,2,2
E0,Fulham,Wigan,2,1
E0,Hull,Burnley,1,4
E0,West Ham,Sunderland,1,0
E0,Blackburn,Man United,0,0
E0,Liverpool,Fulham,0,0
E0,Man City,Birmingham,5,1
E0,Wolves,Stoke,0,0
E0,Chelsea,Bolton,1,0
E0,Aston Villa,Everton,2,2
E0,Tottenham,Arsenal,2,1
E0,Wigan,Portsmouth,0,0
E0,Birmingham,Hull,0,0
E0,Blackburn,Everton,2,3
E0,Fulham,Wolves,0,0
E0,Man City,Man United,0,1
E0,Stoke,Bolton,1,2
E0,Sunderland,Burnley,2,1
E0,Tottenham,Chelsea,2,1
E0,Portsmouth,Aston Villa,1,2
E0,Wigan,Arsenal,3,2
E0,Liverpool,West Ham,3,0
E0,Hull,Aston Villa,0,2
E0,Arsenal,Man City,0,0
E0,Bolton,Portsmouth,2,2
E0,Hull,Sunderland,0,1
E0,Man United,Tottenham,3,1
E0,West Ham,Wigan,3,2
E0,Wolves,Blackburn,1,1
E0,Aston Villa,Birmingham,1,0
E0,Burnley,Liverpool,0,4
E0,Chelsea,Stoke,7,0
E0,Everton,Fulham,2,1
E0,Birmingham,Burnley,2,1
E0,Man City,Aston Villa,3,1
E0,Portsmouth,Wolves,3,1
E0,Stoke,Everton,0,0
