Div,HomeTeam,AwayTeam,FTHG,FTAG
E0,Barnsley,West Ham,1,2
E0,Blackburn,Derby,1,0
E0,Coventry,Chelsea,3,2
E0,Everton,Crystal Palace,1,2
E0,Leeds,Arsenal,1,1
E0,Leicester,Aston Villa,1,0
E0,Newcastle,Sheffield Wednesday,2,1
E0,Southampton,Bolton,0,1
E0,Wimbledon,Liverpool,1,1
E0,Tottenham,Man United,0,2
E0,Arsenal,Coventry,2,0
E0,Crystal Palace,Barnsley,0,1
E0,Aston Villa,Blackburn,0,4
E0,Liverpool,Leicester,1,2
E0,Man United,Southampton,1,0
E0,Sheffield Wednesday,Leeds,1,3
E0,West Ham,Tottenham,2,1
E0,Blackburn,Liverpool,1,1
E0,Coventry,Bolton,2,2
E0,Everton,West Ham,2,1
E0,Leeds,Crystal Palace,0,2
E0,Leicester,Man United,0,0
E0,Newcastle,Aston Villa,1,0
E0,Southampton,Arsenal,1,3
E0,Tottenham,Derby,1,0
E0,Wimbledon,Sheffield Wednesday,1,1
E0,Barnsley,Chelsea,0,6
E0,Blackburn,Sheffield Wednesday,7,2
E0,Leeds,Liverpool,0,2
E0,Barnsley,Bolton,2,1
E0,Coventry,West Ham,1,1
E0,Everton,Man United,0,2
E0,Leicester,Arsenal,3,3
E0,Southampton,Crystal Palace,1,0
E0,Tottenham,Aston Villa,3,2
E0,Wimbledon,Chelsea,0,2
E0,Arsenal,Tottenham,0,0
E0,Aston Villa,Leeds,1,0
E0,Chelsea,Southampton,4,2
E0,Crystal Palace,Blackburn,1,2
E0,Derby,Barnsley,1,0
E0,Man United,Coventry,3,0
E0,Sheffield Wednesday,Leicester,1,0
E0,West Ham,Wimbledon,3,1
E0,Bolton,Everton,0,0
E0,Arsenal,Bolton,4,1
E0,Barnsley,Aston Villa,0,3
E0,Coventry,Southampton,1,0
E0,Crystal Palace,Chelsea,0,3
E0,Derby,Everton,3,1
E0,Leicester,Tottenham,3,0
E0,Liverpool,Sheffield Wednesday,2,1
E0,Man United,West Ham,2,1
E0,Newcastle,Wimbledon,1,3
E0,Blackburn,Leeds,3,4
E0,Aston Villa,Derby,2,1
E0,Bolton,Man United,0,0
E0,Everton,Barnsley,4,2
E0,Leeds,Leicester,0,1
E0,Sheffield Wednesday,Coventry,0,0
E0,Southampton,Liverpool,1,1
E0,Tottenham,Blackburn,0,0
E0,West Ham,Newcastle,0,1
E0,Wimbledon,Crystal Palace,0,1
E0,Chelsea,Arsenal,2,3
E0,Liverpool,Aston Villa,3,0
E0,Bolton,Tottenham,1,1
E0,Wimbledon,Barnsley,4,1
E0,Arsenal,West Ham,4,0
E0,Coventry,Crystal Palace,1,1
E0,Leicester,Blackburn,1,1
E0,Man United,Chelsea,2,2
E0,Newcastle,Everton,1,0
E0,Sheffield Wednesday,Derby,2,5
E0,Southampton,Leeds,0,2
E0,Aston Villa,Sheffield Wednesday,2,2
E0,Barnsley,Leicester,0,2
E0,Chelsea,Newcastle,1,0
E0,Crystal Palace,Bolton,2,2
E0,Derby,Southampton,4,0
E0,Everton,Arsenal,2,2
E0,Leeds,Man United,1,0
E0,Tottenham,Wimbledon,0,0
E0,West Ham,Liverpool,2,1
E0,Blackburn,Coventry,0,0
E0,Arsenal,Barnsley,5,0
E0,Bolton,Aston Villa,0,1
E0,Coventry,Leeds,0,0
E0,Man United,Crystal Palace,2,0
E0,Newcastle,Tottenham,1,0
E0,Sheffield Wednesday,Everton,3,1
E0,Southampton,West Ham,3,0
E0,Wimbledon,Blackburn,0,1
E0,Liverpool,Chelsea,4,2
E0,Leicester,Derby,1,2
E0,Aston Villa,Wimbledon,1,2
E0,Blackburn,Southampton,1,0
E0,Chelsea,Leicester,1,0
E0,Crystal Palace,Arsenal,0,0
E0,Derby,Man United,2,2
E0,Everton,Liverpool,2,0
E0,Leeds,Newcastle,4,1
E0,West Ham,Bolton,3,0
E0,Tottenham,Sheffield Wednesday,3,2
E0,Barnsley,Coventry,2,0
E0,Derby,Wimbledon,1,1
E0,Coventry,Everton,0,0
E0,Liverpool,Derby,4,0
E0,Man United,Barnsley,7,0
E0,Newcastle,Blackburn,1,1
E0,Sheffield Wednesday,Crystal Palace,1,3
E0,Southampton,Tottenham,3,2
E0,Wimbledon,Leeds,1,0
E0,Arsenal,Aston Villa,0,0
E0,Bolton,Chelsea,1,0
E0,Leicester,West Ham,2,1
E0,Aston Villa,Chelsea,0,2
E0,Barnsley,Blackburn,1,1
E0,Bolton,Liverpool,1,1
E0,Derby,Arsenal,3,0
E0,Man United,Sheffield Wednesday,6,1
E0,Newcastle,Leicester,3,3
E0,Tottenham,Leeds,0,1
E0,Wimbledon,Coventry,1,2
E0,Everton,Southampton,0,2
E0,Blackburn,Everton,3,2
E0,Coventry,Newcastle,2,2
E0,Crystal Palace,Aston Villa,1,1
E0,Leeds,Derby,4,3
E0,Liverpool,Tottenham,4,0
E0,Sheffield Wednesday,Bolton,5,0
E0,Southampton,Barnsley,4,1
E0,Arsenal,Man United,3,2
E0,Chelsea,West Ham,2,1
E0,Leicester,Wimbledon,0,1
E0,Aston Villa,Everton,2,1
E0,Blackburn,Chelsea,1,0
E0,Derby,Coventry,3,1
E0,Leicester,Bolton,0,0
E0,Liverpool,Barnsley,0,1
E0,Newcastle,Southampton,2,1
E0,Sheffield Wednesday,Arsenal,2,0
E0,Wimbledon,Man United,2,5
E0,Leeds,West Ham,3,1
E0,Tottenham,Crystal Palace,0,1
E0,Chelsea,Everton,2,0
