Div,HomeTeam,AwayTeam,FTHG,FTAG
E0,Bournemouth,Aston Villa,0,1
E0,Chelsea,Swansea,2,2
E0,Everton,Watford,2,2
E0,Leicester,Sunderland,4,2
E0,Man United,Tottenham,1,0
E0,Norwich,Crystal Palace,1,3
E0,Arsenal,West Ham,0,2
E0,Newcastle,Southampton,2,2
E0,Stoke,Liverpool,0,1
E0,West Brom,Man City,0,3
E0,Aston Villa,Man United,0,1
E0,Southampton,Everton,0,3
E0,Sunderland,Norwich,1,3
E0,Swansea,Newcastle,2,0
E0,Tottenham,Stoke,2,2
E0,Watford,West Brom,0,0
E0,West Ham,Leicester,1,2
E0,Crystal Palace,Arsenal,1,2
E0,Man City,Chelsea,3,0
E0,Liverpool,Bournemouth,1,0
E0,Crystal Palace,Aston Villa,2,1
E0,Leicester,Tottenham,1,1
E0,Man United,Newcastle,0,0
E0,Norwich,Stoke,1,1
E0,Sunderland,Swansea,1,1
E0,West Ham,Bournemouth,3,4
E0,Everton,Man City,0,2
E0,Watford,Southampton,0,0
E0,West Brom,Chelsea,2,3
E0,Arsenal,Liverpool,0,0
E0,Aston Villa,Sunderland,2,2
E0,Bournemouth,Leicester,1,1
E0,Chelsea,Crystal Palace,1,2
E0,Liverpool,West Ham,0,3
E0,Man City,Watford,2,0
E0,Newcastle,Arsenal,0,1
E0,Stoke,West Brom,0,1
E0,Tottenham,Everton,0,0
E0,Southampton,Norwich,3,0
E0,Swansea,Man United,2,1
E0,Arsenal,Stoke,2,0
E0,Crystal Palace,Man City,0,1
E0,Everton,Chelsea,3,1
E0,Man United,Liverpool,3,1
E0,Norwich,Bournemouth,3,1
E0,Watford,Swansea,1,0
E0,West Brom,Southampton,0,0
E0,Leicester,Aston Villa,3,2
E0,Sunderland,Tottenham,0,1
E0,West Ham,Newcastle,2,0
E0,Aston Villa,West Brom,0,1
E0,Bournemouth,Sunderland,2,0
E0,Chelsea,Arsenal,2,0
E0,Man City,West Ham,1,2
E0,Newcastle,Watford,1,2
E0,Stoke,Leicester,2,2
E0,Swansea,Everton,0,0
E0,Liverpool,Norwich,1,1
E0,Southampton,Man United,2,3
E0,Tottenham,Crystal Palace,1,0
E0,Leicester,Arsenal,2,5
E0,Liverpool,Aston Villa,3,2
E0,Man United,Sunderland,3,0
E0,Newcastle,Chelsea,2,2
E0,Southampton,Swansea,3,1
E0,Stoke,Bournemouth,2,1
E0,Tottenham,Man City,4,1
E0,West Ham,Norwich,2,2
E0,Watford,Crystal Palace,0,1
E0,West Brom,Everton,2,3
E0,Aston Villa,Stoke,0,1
E0,Bournemouth,Watford,1,1
E0,Chelsea,Southampton,1,3
E0,Crystal Palace,West Brom,2,0
E0,Man City,Newcastle,6,1
E0,Norwich,Leicester,1,2
E0,Sunderland,West Ham,2,2
E0,Arsenal,Man United,3,0
E0,Everton,Liverpool,1,1
E0,Swansea,Tottenham,2,2
E0,Chelsea,Aston Villa,2,0
E0,Crystal Palace,West Ham,1,3
E0,Everton,Man United,0,3
E0,Man City,Bournemouth,5,1
E0,Southampton,Leicester,2,2
E0,Tottenham,Liverpool,0,0
E0,Watford,Arsenal,0,3
E0,West Brom,Sunderland,1,0
E0,Newcastle,Norwich,6,2
E0,Swansea,Stoke,0,1
E0,Arsenal,Everton,2,1
E0,Aston Villa,Swansea,1,2
E0,Leicester,Crystal Palace,1,0
E0,Norwich,West Brom,0,1
E0,Stoke,Watford,0,2
E0,West Ham,Chelsea,2,1
E0,Bournemouth,Tottenham,1,5
E0,Liverpool,Southampton,1,1
E0,Man United,Man City,0,0
E0,Sunderland,Newcastle,3,0
E0,Chelsea,Liverpool,1,3
E0,Crystal Palace,Man United,0,0
E0,Man City,Norwich,2,1
E0,Newcastle,Stoke,0,0
E0,Swansea,Arsenal,0,3
E0,Watford,West Ham,2,0
E0,West Brom,Leicester,2,3
E0,Everton,Sunderland,6,2
E0,Southampton,Bournemouth,2,0
E0,Tottenham,Aston Villa,3,1
E0,Bournemouth,Newcastle,0,1
E0,Leicester,Watford,2,1
E0,Man United,West Brom,2,0
E0,Norwich,Swansea,1,0
E0,Stoke,Chelsea,1,0
E0,Sunderland,Southampton,0,1
E0,West Ham,Everton,1,1
E0,Arsenal,Tottenham,1,1
E0,Aston Villa,Man City,0,0
E0,Liverpool,Crystal Palace,1,2
E0,Chelsea,Norwich,1,0
E0,Everton,Aston Villa,4,0
E0,Man City,Liverpool,1,4
E0,Newcastle,Leicester,0,3
E0,Southampton,Stoke,0,1
E0,Swansea,Bournemouth,2,2
E0,Watford,Man United,1,2
E0,West Brom,Arsenal,2,1
E0,Tottenham,West Ham,4,1
E0,Crystal Palace,Sunderland,0,1
E0,Aston Villa,Watford,2,3
E0,Bournemouth,Everton,3,3
E0,Crystal Palace,Newcastle,5,1
E0,Leicester,Man United,1,1
E0,Man City,Southampton,3,1
E0,Sunderland,Stoke,2,0
E0,Liverpool,Swansea,1,0
E0,Norwich,Arsenal,1,1
E0,Tottenham,Chelsea,0,0
E0,West Ham,West Brom,1,1
E0,Arsenal,Sunderland,3,1
E0,Chelsea,Bournemouth,0,1
E0,Man United,West Ham,0,0
E0,Southampton,Aston Villa,1,1
E0,Stoke,Man City,2,0
E0,Swansea,Leicester,0,3
E0,Watford,Norwich,2,0
E0,West Brom,Tottenham,1,1
E0,Newcastle,Liverpool,2,0
E0,Everton,Crystal Palace,1,1
E0,Bournemouth,Man United,2,1
E0,Crystal Palace,Southampton,1,0
E0,Man City,Swansea,2,1
E0,Norwich,Everton,1,1
E0,Sunderland,Watford,0,1
E0,West Ham,Stoke,0,0
E0,Aston Villa,Arsenal,0,2
E0,Liverpool,West Brom,2,2
E0,Tottenham,Newcastle,1,2
E0,Leicester,Chelsea,2,1
E0,Chelsea,Sunderland,3,1
E0,Everton,Leicester,2,3
E0,Man United,Norwich,1,2
E0,Newcastle,Aston Villa,1,1
E0,Southampton,Tottenham,0,2
E0,Stoke,Crystal Palace,1,2
E0,West Brom,Bournemouth,1,2
E0,Swansea,West Ham,0,0
E0,Watford,Liverpool,3,0
E0,Arsenal,Man City,2,1
E0,Aston Villa,West Ham,1,1
E0,Bournemouth,Crystal Palace,0,0
E0,Chelsea,Watford,2,2
E0,Liverpool,Leicester,1,0
E0,Man City,Sunderland,4,1
E0,Newcastle,Everton,0,1
E0,Southampton,Arsenal,4,0
E0,Stoke,Man United,2,0
E0,Swansea,West Brom,1,0
E0,Tottenham,Norwich,3,0
E0,Arsenal,Bournemouth,2,0
E0,Crystal Palace,Swansea,0,0
E0,Everton,Stoke,3,4
E0,Man United,Chelsea,0,0
E0,Norwich,Aston Villa,2,0
E0,Watford,Tottenham,1,2
E0,West Brom,Newcastle,1,0
E0,West Ham,Southampton,2,1
E0,Leicester,Man City,0,0
E0,Sunderland,Liverpool,0,1
E0,Arsenal,Newcastle,1,0
E0,Leicester,Bournemouth,0,0
E0,Man United,Swansea,2,1
E0,Norwich,Southampton,1,0
E0,Sunderland,Aston Villa,3,1
E0,Watford,Man City,1,2
E0,West Brom,Stoke,2,1
E0,West Ham,Liverpool,2,0
E0,Crystal Palace,Chelsea,0,3
E0,Everton,Tottenham,1,1
E0,Aston Villa,Crystal Palace,1,0
E0,Bournemouth,West Ham,1,3
E0,Newcastle,Man United,3,3
E0,Chelsea,West Brom,2,2
E0,Liverpool,Arsenal,3,3
E0,Man City,Everton,0,0
E0,Southampton,Watford,2,0
E0,Stoke,Norwich,3,1
E0,Swansea,Sunderland,2,4
E0,Tottenham,Leicester,0,1
E0,Aston Villa,Leicester,1,1
E0,Bournemouth,Norwich,3,0
E0,Chelsea,Everton,3,3
E0,Man City,Crystal Palace,4,0
E0,Newcastle,West Ham,2,1
E0,Southampton,West Brom,3,0
E0,Tottenham,Sunderland,4,1
E0,Liverpool,Man United,0,1
E0,Stoke,Arsenal,0,0
E0,Swansea,Watford,1,0
E0,Crystal Palace,Tottenham,1,3
E0,Leicester,Stoke,3,0
E0,Man United,Southampton,0,1
E0,Norwich,Liverpool,4,5
E0,Sunderland,Bournemouth,1,1
E0,Watford,Newcastle,2,1
E0,West Brom,Aston Villa,0,0
E0,West Ham,Man City,2,2
E0,Arsenal,Chelsea,0,1
E0,Everton,Swansea,1,2
E0,Arsenal,Southampton,0,0
E0,Crystal Palace,Bournemouth,1,2
E0,Leicester,Liverpool,2,0
E0,Man United,Stoke,3,0
E0,Norwich,Tottenham,0,3
E0,Sunderland,Man City,0,1
E0,West Brom,Swansea,1,1
E0,West Ham,Aston Villa,2,0
E0,Everton,Newcastle,3,0
E0,Watford,Chelsea,0,0
E0,Aston Villa,Norwich,2,0
E0,Liverpool,Sunderland,2,2
E0,Man City,Leicester,1,3
E0,Newcastle,West Brom,1,0
E0,Southampton,West Ham,1,0
E0,Stoke,Everton,0,3
E0,Swansea,Crystal Palace,1,1
E0,Tottenham,Watford,1,0
E0,Bournemouth,Arsenal,0,2
E0,Chelsea,Man United,1,1
E0,Bournemouth,Stoke,1,3
E0,Chelsea,Newcastle,5,1
E0,Crystal Palace,Watford,1,2
E0,Everton,West Brom,0,1
E0,Norwich,West Ham,2,2
E0,Sunderland,Man United,2,1
E0,Swansea,Southampton,0,1
E0,Arsenal,Leicester,2,1
E0,Aston Villa,Liverpool,0,6
E0,Man City,Tottenham,1,2
E0,Leicester,Norwich,1,0
E0,Southampton,Chelsea,1,2
E0,Stoke,Aston Villa,2,1
E0,Watford,Bournemouth,0,0
E0,West Brom,Crystal Palace,3,2
E0,West Ham,Sunderland,1,0
E0,Tottenham,Swansea,2,1
E0,Man United,Arsenal,3,2
E0,Aston Villa,Everton,1,3
E0,Bournemouth,Southampton,2,0
E0,Leicester,West Brom,2,2
E0,Norwich,Chelsea,1,2
E0,Sunderland,Crystal Palace,2,2
E0,Arsenal,Swansea,1,2
E0,Liverpool,Man City,3,0
E0,Man United,Watford,1,0
E0,Stoke,Newcastle,1,0
E0,West Ham,Tottenham,1,0
E0,Chelsea,Stoke,1,1
E0,Everton,West Ham,2,3
E0,Man City,Aston Villa,4,0
E0,Newcastle,Bournemouth,1,3
E0,Southampton,Sunderland,1,1
E0,Swansea,Norwich,1,0
E0,Tottenham,Arsenal,2,2
E0,Watford,Leicester,0,1
E0,Crystal Palace,Liverpool,1,2
E0,West Brom,Man United,1,0
E0,Bournemouth,Swansea,3,2
E0,Norwich,Man City,0,0
E0,Stoke,Southampton,1,2
E0,Aston Villa,Tottenham,0,2
E0,Leicester,Newcastle,1,0
E0,Chelsea,West Ham,2,2
E0,Crystal Palace,Leicester,0,1
E0,Everton,Arsenal,0,2
E0,Swansea,Aston Villa,1,0
E0,Watford,Stoke,1,2
E0,West Brom,Norwich,0,1
E0,Man City,Man United,0,1
E0,Newcastle,Sunderland,1,1
E0,Southampton,Liverpool,3,2
E0,Tottenham,Bournemouth,3,0
E0,Arsenal,Watford,4,0
E0,Aston Villa,Chelsea,0,4
E0,Bournemouth,Man City,0,4
E0,Liverpool,Tottenham,1,1
E0,Norwich,Newcastle,3,2
E0,Stoke,Swansea,2,2
E0,Sunderland,West Brom,0,0
E0,West Ham,Crystal Palace,2,2
E0,Leicester,Southampton,1,0
E0,Man United,Everton,1,0
E0,Aston Villa,Bournemouth,1,2
E0,Crystal Palace,Norwich,1,0
E0,Man City,West Brom,2,1
E0,Southampton,Newcastle,3,1
E0,Swansea,Chelsea,1,0
E0,Watford,Everton,1,1
E0,West Ham,Arsenal,3,3
E0,Liverpool,Stoke,4,1
E0,Sunderland,Leicester,0,2
E0,Tottenham,Man United,3,0
E0,Crystal Palace,Everton,0,0
E0,Chelsea,Man City,0,3
E0,Everton,Southampton,1,1
E0,Man United,Aston Villa,1,0
E0,Newcastle,Swansea,3,0
E0,Norwich,Sunderland,0,3
E0,West Brom,Watford,0,1
E0,Arsenal,Crystal Palace,1,1
E0,Bournemouth,Liverpool,1,2
E0,Leicester,West Ham,2,2
E0,Stoke,Tottenham,0,4
E0,Newcastle,Man City,1,1
E0,Liverpool,Everton,4,0
E0,Man United,Crystal Palace,2,0
E0,West Ham,Watford,3,1
E0,Arsenal,West Brom,2,0
E0,Aston Villa,Southampton,2,4
E0,Bournemouth,Chelsea,1,4
E0,Liverpool,Newcastle,2,2
E0,Man City,Stoke,4,0
E0,Leicester,Swansea,4,0
E0,Sunderland,Arsenal,0,0
E0,Tottenham,West Brom,1,1
E0,Arsenal,Norwich,1,0
E0,Everton,Bournemouth,2,1
E0,Newcastle,Crystal Palace,1,0
E0,Stoke,Sunderland,1,1
E0,Watford,Aston Villa,3,2
E0,West Brom,West Ham,0,3
E0,Man United,Leicester,1,1
E0,Southampton,Man City,4,2
E0,Swansea,Liverpool,3,1
E0,Chelsea,Tottenham,2,2
E0,Aston Villa,Newcastle,0,0
E0,Bournemouth,West Brom,1,1
E0,Crystal Palace,Stoke,2,1
E0,Leicester,Everton,3,1
E0,Norwich,Man United,0,1
E0,Sunderland,Chelsea,3,2
E0,West Ham,Swansea,1,4
E0,Liverpool,Watford,2,0
E0,Man City,Arsenal,2,2
E0,Tottenham,Southampton,1,2
E0,West Ham,Man United,3,2
E0,Liverpool,Chelsea,1,1
E0,Norwich,Watford,4,2
E0,Sunderland,Everton,3,0
E0,Arsenal,Aston Villa,4,0
E0,Chelsea,Leicester,1,1
E0,Everton,Norwich,3,0
E0,Newcastle,Tottenham,5,1
E0,Southampton,Crystal Palace,4,1
E0,Stoke,West Ham,2,1
E0,Swansea,Man City,1,1
E0,Watford,Sunderland,2,2
E0,West Brom,Liverpool,1,1
E0,Man United,Bournemouth,3,1
