Div,HomeTeam,AwayTeam,FTHG,FTAG
E0,Arsenal,Aston Villa,1,1
E0,Bolton,Tottenham,2,0
E0,Everton,Watford,2,1
E0,Newcastle,Wigan,2,1
E0,Portsmouth,Blackburn,3,0
E0,Reading,Middlesbrough,3,2
E0,Sheffield United,Liverpool,1,1
E0,West Ham,Charlton,3,1
E0,Chelsea,Man City,3,0
E0,Man United,Fulham,5,1
E0,Tottenham,Sheffield United,2,0
E0,Watford,West Ham,1,1
E0,Aston Villa,Reading,2,1
E0,Blackburn,Everton,1,1
E0,Charlton,Man United,0,3
E0,Fulham,Bolton,1,1
E0,Man City,Portsmouth,0,0
E0,Middlesbrough,Chelsea,2,1
E0,Charlton,Bolton,2,0
E0,Fulham,Sheffield United,1,0
E0,Liverpool,West Ham,2,1
E0,Man City,Arsenal,1,0
E0,Tottenham,Everton,0,2
E0,Watford,Man United,1,2
E0,Wigan,Reading,1,0
E0,Aston Villa,Newcastle,2,0
E0,Blackburn,Chelsea,0,2
E0,Middlesbrough,Portsmouth,0,4
E0,Arsenal,Middlesbrough,1,1
E0,Bolton,Watford,1,0
E0,Chelsea,Charlton,2,1
E0,Everton,Liverpool,3,0
E0,Man United,Tottenham,1,0
E0,Newcastle,Fulham,1,2
E0,Portsmouth,Wigan,1,0
E0,Sheffield United,Blackburn,0,0
E0,West Ham,Aston Villa,1,1
E0,Reading,Man City,1,0
E0,Bolton,Middlesbrough,0,0
E0,Charlton,Portsmouth,0,1
E0,Everton,Wigan,2,2
E0,Sheffield United,Reading,1,2
E0,Watford,Aston Villa,0,0
E0,Blackburn,Man City,4,2
E0,Chelsea,Liverpool,1,0
E0,Man United,Arsenal,0,1
E0,Tottenham,Fulham,0,0
E0,West Ham,Newcastle,0,2
E0,Liverpool,Newcastle,2,0
E0,Arsenal,Sheffield United,3,0
E0,Aston Villa,Charlton,2,0
E0,Fulham,Chelsea,0,2
E0,Liverpool,Tottenham,3,0
E0,Man City,West Ham,2,0
E0,Middlesbrough,Blackburn,0,1
E0,Reading,Man United,1,1
E0,Wigan,Watford,1,1
E0,Newcastle,Everton,1,1
E0,Portsmouth,Bolton,0,1
E0,Bolton,Liverpool,2,0
E0,Charlton,Arsenal,1,2
E0,Chelsea,Aston Villa,1,1
E0,Everton,Man City,1,1
E0,Sheffield United,Middlesbrough,2,1
E0,Blackburn,Wigan,2,1
E0,Man United,Newcastle,2,0
E0,Tottenham,Portsmouth,2,1
E0,West Ham,Reading,0,1
E0,Watford,Fulham,3,3
E0,Arsenal,Watford,3,0
E0,Aston Villa,Tottenham,1,1
E0,Liverpool,Blackburn,1,1
E0,Man City,Sheffield United,0,0
E0,Middlesbrough,Everton,2,1
E0,Portsmouth,West Ham,2,0
E0,Reading,Chelsea,0,1
E0,Wigan,Man United,1,3
