Div,HomeTeam,AwayTeam,FTHG,FTAG
E0,Arsenal,Aston Villa,1,3
E0,Liverpool,Stoke,1,0
E0,Norwich,Everton,2,2
E0,Sunderland,Fulham,0,1
E0,Swansea,Man United,1,4
E0,West Brom,Southampton,0,1
E0,West Ham,Cardiff,2,0
E0,Chelsea,Hull,2,0
E0,Crystal Palace,Tottenham,0,1
E0,Man City,Newcastle,4,0
E0,Chelsea,Aston Villa,2,1
E0,Aston Villa,Liverpool,0,1
E0,Everton,West Brom,0,0
E0,Fulham,Arsenal,1,3
E0,Hull,Norwich,1,0
E0,Newcastle,West Ham,0,0
E0,Southampton,Sunderland,1,1
E0,Stoke,Crystal Palace,2,1
E0,Cardiff,Man City,3,2
E0,Tottenham,Swansea,1,0
E0,Man United,Chelsea,0,0
E0,Cardiff,Everton,0,0
E0,Crystal Palace,Sunderland,3,1
E0,Man City,Hull,2,0
E0,Newcastle,Fulham,1,0
E0,Norwich,Southampton,1,0
E0,West Ham,Stoke,0,1
E0,Arsenal,Tottenham,1,0
E0,Liverpool,Man United,1,0
E0,West Brom,Swansea,0,2
E0,Aston Villa,Newcastle,1,2
E0,Everton,Chelsea,1,0
E0,Fulham,West Brom,1,1
E0,Hull,Cardiff,1,1
E0,Man United,Crystal Palace,2,0
E0,Stoke,Man City,0,0
E0,Sunderland,Arsenal,1,3
E0,Tottenham,Norwich,2,0
E0,Southampton,West Ham,0,0
E0,Swansea,Liverpool,2,2
E0,Chelsea,Fulham,2,0
E0,Liverpool,Southampton,0,1
E0,Newcastle,Hull,2,3
E0,Norwich,Aston Villa,0,1
E0,West Brom,Sunderland,3,0
E0,West Ham,Everton,2,3
E0,Arsenal,Stoke,3,1
E0,Cardiff,Tottenham,0,1
E0,Crystal Palace,Swansea,0,2
E0,Man City,Man United,4,1
E0,Aston Villa,Man City,3,2
E0,Fulham,Cardiff,1,2
E0,Hull,West Ham,1,0
E0,Man United,West Brom,1,2
E0,Southampton,Crystal Palace,2,0
E0,Swansea,Arsenal,1,2
E0,Tottenham,Chelsea,1,1
E0,Stoke,Norwich,0,1
E0,Sunderland,Liverpool,1,3
E0,Everton,Newcastle,3,2
E0,Cardiff,Newcastle,1,2
E0,Fulham,Stoke,1,0
E0,Hull,Aston Villa,0,0
E0,Liverpool,Crystal Palace,3,1
E0,Man City,Everton,3,1
E0,Sunderland,Man United,1,2
E0,Norwich,Chelsea,1,3
E0,Southampton,Swansea,2,0
E0,Tottenham,West Ham,0,3
E0,West Brom,Arsenal,1,1
E0,Arsenal,Norwich,4,1
E0,Chelsea,Cardiff,4,1
E0,Everton,Hull,2,1
E0,Man United,Southampton,1,1
E0,Newcastle,Liverpool,2,2
E0,Stoke,West Brom,0,0
E0,Swansea,Sunderland,4,0
E0,West Ham,Man City,1,3
E0,Aston Villa,Tottenham,0,2
E0,Crystal Palace,Fulham,1,4
E0,Aston Villa,Everton,0,2
E0,Crystal Palace,Arsenal,0,2
E0,Liverpool,West Brom,4,1
E0,Man United,Stoke,3,2
